,Character Pairs,Sentiment
0,Monica_David,0.32103333333333334
1,Rachel_Gavin,0.30065625000000007
2,Rachel_Gunther,0.19694375
3,Donny_Joey,0.19640000000000002
4,Charlie_Joey,0.19165
5,Mike_Phoebe,0.1796416666666667
6,Joey_Bob,0.17453636363636366
7,Phoebe_Vince,0.1694
8,Ross_Julie,0.1543142857142857
9,Phoebe_Chandler,0.14627301587301583
10,Monica_Bob,0.14260666666666666
11,Chandler_Bob,0.14031818181818181
12,Phoebe_Rachel,0.13543235294117648
13,Joey_Doug,0.13441538461538463
14,Rachel_Josh,0.13125
15,Director_Joey,0.12832857142857143
16,Rachel_Chandler,0.12237063492063496
17,Rachel_Mona,0.12060666666666668
18,Joey_Cookie,0.11700769230769231
19,Chandler_Kathy,0.1157642857142857
20,Phoebe_Monica,0.10583767123287668
21,Janice_Chandler,0.10356
22,Charlie_Ross,0.10250000000000001
23,Ross_Gunther,0.10128947368421055
24,Monica_Eric,0.0959904761904762
25,Monica_Erica,0.0959904761904762
26,Rachel_Monica,0.09043443983402488
27,Chandler_Rachel,0.09020925925925927
28,Joey_Rachel,0.08858230769230768
29,Ross_Phoebe,0.0876531914893617
30,Phoebe_Don,0.0876029411764706
31,Joey_Phoebe,0.08726000000000002
32,Phoebe_Ross,0.08687520661157025
33,Rachel_Joey,0.08326932153392332
34,Chandler_Ross,0.08159513888888889
35,Monica_Chandler,0.08107404580152675
36,Joey_Monica,0.07756951219512194
37,Chandler_Dan,0.07679166666666667
38,Joey_Don,0.07444153846153846
39,Joey_Chandler,0.07395202312138727
40,Joey_Kathy,0.06919090909090908
41,Monica_Ross,0.06719000000000001
42,Monica_Phoebe,0.06557992565055765
43,Monica_Don,0.06494242424242426
44,Chandler_Joey,0.06413105590062111
45,Phoebe_Joey,0.06299285714285714
46,Ross_Rachel,0.0600639053254438
47,Rachel_Ross,0.06003715415019757
48,Joey_Ross,0.05923618233618233
49,Chandler_Monica,0.05762348993288587
50,David_Phoebe,0.055615384615384615
51,Monica_Rachel,0.05518231707317075
52,Ross_Joey,0.05506689655172416
53,Rachel_Paolo,0.05454285714285714
54,Monica_Joey,0.054225217391304335
55,Rachel_Danny,0.053075000000000004
56,Rachel_Dan,0.050993333333333335
57,Ross_Marcel,0.050835849056603766
58,Rachel_Phoebe,0.05020808510638299
59,Chandler_Phoebe,0.04881964285714285
60,Ross_Chandler,0.04728615384615386
61,Joey_Terry,0.04651538461538462
62,Emily_Ross,0.044181250000000005
63,Rachel_Don,0.036234042553191494
64,Rachel_Tom,0.033063636363636364
65,Rachel_Tommy,0.033063636363636364
66,Kim_Rachel,0.032309090909090905
67,Paul_Ross,0.024607142857142855
68,Monica_Dan,0.02254615384615384
69,Phoebe_Bob,0.021361538461538473
70,Ross_Monica,0.017128318584070795
71,Ross_Don,0.010334482758620684
72,Rachel_Julie,0.00354615384615384
73,Elizabeth_Ross,0.001499999999999997
74,Phoebe_David,-0.00011379310344826907
75,Chandler_Don,-0.006409259259259259
76,Carol_Ross,-0.014833333333333332
77,Ross_Mona,-0.07593636363636364
