,Character,Sentiment
0,Gary,0.11077478260869562
1,Donny,0.21667272727272727
2,Phoebe,0.10083004587156034
3,Roy,0.06987000000000002
4,Cassie,0.137325
5,Luisa,-0.05979523809523809
6,Eric,0.07336197183098589
7,Lewis,0.0705
8,Chloe,0.08222368421052632
9,Tim,0.1306240740740741
10,Lauren,0.043909090909090905
11,Alice,0.08486511627906977
12,Cecilia,0.10485645161290322
13,Chip,0.075388
14,Bob,0.04174545454545455
15,Sebastian,0.035781818181818185
16,Sandy,0.15393750000000003
17,Issac,0.11118461538461538
18,Ginger,-0.0038199999999999983
19,Girl,0.04671538461538461
20,Interviewer,0.07502727272727273
21,Susan,0.08010104166666668
22,Leslie,0.13915624999999998
23,Melissa,0.10273125
24,Megan,0.0490764705882353
25,Waiter,-0.004508000000000006
26,Mindy,0.20208965517241376
27,Janine,0.16207926829268293
28,Bitsy,0.15302380952380956
29,Dana,0.05912
30,Helena,0.09670000000000001
31,Teacher,0.030738461538461534
32,Monica,0.08362846741045246
33,Margha,0.025009090909090904
34,Parker,0.11764444444444445
35,Paul,0.0661384105960265
36,Jim,0.07851764705882353
37,Shelley,0.22006470588235297
38,Caitlin,0.025309677419354845
39,Judge,0.11950833333333333
40,Mark,0.10343484848484852
41,Danny,0.1216422535211268
42,Man,0.05189574468085106
43,Chandler,0.08875212647241171
44,Kori,-0.03661538461538461
45,David,0.13331552795031054
46,Carol,0.09350344827586207
47,Wendy,0.18
48,Receptionist,0.10300344827586207
49,Director,0.08431756756756759
50,Joshua,0.15739999999999998
51,Joanna,0.06672535211267606
52,Ross,0.0870291269580464
53,Lydia,0.040183333333333335
54,Angela,0.1929777777777778
55,Sophie,0.09246363636363637
56,Wayne,0.048443749999999994
57,Ursula,0.13147400000000004
58,Elizabeth,0.06769705882352942
59,Charlie,0.12334975845410628
60,Tommy,0.004796875000000001
61,Kim,0.10812777777777777
62,Kate,0.10627402597402599
63,Kristen,0.13101388888888887
64,Woman,0.10420430107526882
65,Janice,0.09240687285223363
66,Katie,0.2156515151515152
67,Gavin,0.08816779661016948
68,Brenda,0.10326874999999999
69,Nurse,0.0625875
70,Gene,0.01831153846153846
71,Vince,0.06291428571428571
72,Theodore,0.17682307692307694
73,Jason,0.07664375000000001
74,Kathy,0.15547272727272726
75,Doug,0.03862571428571429
76,Rick,0.14758571428571426
77,Sarah,0.19307894736842104
78,Aurora,0.12622666666666668
79,Mike,0.10307176470588238
80,Owen,0.02114285714285714
81,Frank,0.101325974025974
82,Robert,0.15430833333333333
83,Joey,0.09063037780401509
84,Mackenzie,0.07114999999999999
85,Larry,0.0616952380952381
86,Terry,-0.009800000000000005
87,Cliff,0.07156818181818181
88,Will,0.04719687499999999
89,All,0.10926476964769648
90,Russell,0.030915384615384615
91,Tom,0.11103181818181816
92,Stanley,-0.01821666666666667
93,Earl,0.06403939393939395
94,Emily,0.07405359116022098
95,Malcom,-0.003905000000000014
96,Julie,0.17774750000000003
97,Jill,0.0881172043010753
98,Robin,-0.001899999999999999
99,Doctor,0.14596521739130433
100,Julio,-0.04649999999999998
101,Guy,0.09411764705882356
102,Bonnie,0.1643945945945946
103,Mona,0.09818095238095237
104,Ben,0.010588059701492533
105,Liam,0.0029909090909090896
106,Rachel,0.09941648828756156
107,Policeman,0.1743375
108,Max,0.051095238095238096
109,Pete,0.11290393700787395
110,Estelle,0.08419523809523809
111,Zack,0.08872000000000002
112,Roger,0.07328717948717949
113,Don,0.13125
114,Richard,0.07814507042253523
115,Dina,0.016518918918918924
116,Missy,0.09117692307692307
117,Steve,0.09211746031746033
118,Erica,0.16386129032258065
119,Allesandro,0.11374545454545454
120,Ronni,0.19625769230769233
121,Precious,-0.06340555555555556
122,Cop,0.08272631578947368
123,Gunther,0.06895825242718447
124,Barry,0.133872
125,Tag,0.10665903614457832
126,Erin,0.0764037037037037
