CH_1,CH_2
Stu,Allesandro
Tom,Danny
Maureen,Monica
Owen,Chandler
Amanda (Ross' date),Laura
Bob (rat),Mike Hannigan
The Kids,Eric
Dr. Roger,Chandler
Mike Hannigan,Rachel
Chloe,Rachel
Carol Willick,Earl
Marshall Townend,Marsha
Charles Bing,Jack Geller
Cathy,Jean-Claude Van Damme
Laura,Chandler
Tommy,Joey
Ugly Naked Guy,Monica
Terry,Max
Margha,Chandler
Gavin Mitchell,Emma Geller-Greene
Carl (actor),Joey
Marcel,Monica
Julie,Ross
Ida Greene,Nick
Joshua Burgin,Joshua Burgin's nephew
Mike Hannigan,Phoebe
Jeffrey,Chandler
Charlton Heston,Joey
Marsha,Ross
Timothy Burke,Monica
Michelle Burke,Timothy Burke
Mike Hannigan,Leslie
Cailin Praytor,Caitlin
The Dry Cleaner,Phoebe
Bob (rat),Phoebe
Russ,Rachel
Mona,Allesandro
Tag Jones,Phoebe
Nina Bookbinder,Doug
Emma Geller-Greene,Jill Greene
Tom,Doug
Ginger,Phoebe
Ben Geller,Jack Geller
Charlie Wheeler,Monica
Pete Becker,Ross
Mary-Therese Tribbiani,Mary
Megan Bailey,Jen
Gavin,Rachel
Dr. Harad,Phoebe
Luisa Gianetti,Phoebe
Ginger,Tim
Ben Geller,Stu
Mrs. Braverman,Monica
Parker,Monica
Al Zebooker,Estelle Leonard
Sandra Greene,Rachel
Sophie,Laura
The Judge,Rachel
Gina Tribbiani,Nonna
Mr. Kaplan Jr.,Chandler
Joanne,Joanna
Isaac,Chandler
Aunt Millie,Erica
Anita Altman,Ta-Taka-Ki-Kek
Isabella Rossellini,Catherine
Ross Zelner,Ralph Lauren
Ben Geller,Judy Geller
Emily Waltham,Mr. Waltham
Paul Stevens,Charles Bing
Stuart,Jack Geller
The Kids,Michael
Charlie Wheeler,Ross
Pete Becker,Monica
The Triplets,Phoebe
Bob,Joey
Ben Geller,Susan Bunch
Gloria Tribbiani,Nonnie
Bobby Corso,Dina
Amy Welsh,Chip Matthews
Nonnie,Monica
Elizabeth Stevens,Stevens siblings' mother
Owen,Russ
Anita Altman,Chandler
Kate Miller,Dina
Huggsy,Chandler
Marie,Monica
Frank Jr. Jr.,Rachel
Sarah,Molly
Phoebe Abbott,Joey
The Triplets,Ursula Buffay
Tommy,Monica
Mr. Heckles,Eric
Chandler Buffay,Ross
Janice Litman-Goralnik,Mr. Heckles
Mr. Burgin,Chandler
Jill Greene,Leonard Greene
Marjorie,Chandler
Nancy,Rachel
Aunt Iris,Phoebe
Nervous male passenger,Rachel
Steve (drug addict),Leonard Greene
Will Colbert,Chandler
Ross Zelner,Rachel
George Stephanopoulos,Bill
Stephen Waltham,Judy Geller
Timmy,Monica
Frances,Ursula Buffay
Isaac,Jasmine
Brown Bird Troop Leader,Sarah
Jen,Ross
Danny,Monica
Paul the Wine Guy,Chandler
Wendy,Monica
Cousin Frannie,Ben Geller
Emilio,Monica
Stryker Ramoray,Eric
Stuart,Rachel
Marshall Townend,Joey
Peter,Chandler
Mike Hannigan's brother,Phoebe
Aunt Lillian,Monica
Tomas,Joey
Joshua Burgin's nephew,Rachel
Mackenzie,Monica
The Kids,Emma Geller-Greene
Unnamed Season 1 Characters,Monica
The accountant,Phoebe
Huggsy,Ross
Erica,Joey
Ben Geller,Monica
Colleen,Chandler
Angela Delveccio,Chandler
Unnamed Season 7 Characters,Michelle
Charlie Wheeler,Stu
Restaurant Manger/Producer,Joey
Robert,Ross
Aunt Iris,Judy Geller
Mr. Heckles,Joey
Erin,Rachel
Eddie Menuek,Joey
Paul the Wine Guy,Joey
Joshua Burgin's ex-wife,Mr. Burgin
Cousin Frannie,Erica
Russell,Rachel
Mr. Douglas,Doug
Mona,Carol Willick
Emma Geller-Greene,Eric
Mrs. Stevens,Ms. Stevens
Jamie,Carol Willick
Colleen,Monica
"David ""Tank"" Abbott",Monica
Sarah Tuttle,Joey
Ursula Buffay,Phoebe
Julie Graff,Monica
The Housekeeper,Phoebe
Lydia,Joey
Steve (Chandler's boss),Rachel
Ethan,Rick
Gene Lester,Joey
Erica Bing,Nora Tyler Bing
Owen,Monica
Rick,Joey
Frank Jr. Jr.,Ross
Caitlin,Monica
Minnie,Susan Bunch
Aunt Cheryl,Cheryl
Carl (actor),Tony
Cousin Frannie,Jack Geller
Paul Stevens,Chandler
Mr. Treeger,Chandler
Nonna,Gloria Tribbiani
Isaac,Joey
Gloria Tribbiani,Tina
Richard Burke,Timothy Burke
Dennis Phillips,Monica
"Mike ""Gandalf"" Ganderson",Ben Geller
Ursula Buffay,Rachel
David,Monica
Ben Geller,Minnie
Ugly Naked Guy,Chandler
Alice Knight,Ursula Buffay
Frank Buffay Sr.,Ursula Buffay
Mrs. Robinson,Rachel
Frank Buffay Sr.,Phoebe Abbott
Tim (Season 3),Pete Becker
Jake,Rachel
Bob (Chandler's coworker),Bob
Gunther,Phoebe
Stuart,Ross
Cathy,Robert
Mischa,Rachel
Duncan,Ursula Buffay
Bill,Owen
Julie,Monica
Andrea Waltham,Emily Waltham's second husband
The Kids,Carol Willick
Unidentified Phoebe Buffay fan,Larry
Mr. Treeger,Ross
Melanie,Monica
Erica Bing,Phoebe
Robert,Rachel
Grandma Geller,Ben Geller
Chick Jr. & Duck Jr.,Chandler
Catherine,Judy Geller
Grandma Geller,Joey
Carlos,Tony
Ben Geller,Don
Ethan,Monica
Unnamed Season 7 Characters,Rachel
Denise,Phoebe
Krista,Dan
Guru Saj,Don
Muriel,Amy Greene
Amy Greene,Chandler
Terry (casting director),Michael
Mr. Wheeler,Ross
Nurse Sizemore,Ross
Mr. Kaplan Jr.,Rachel
Frank Buffay Jr.,Ross
Mrs. Buffay (Frank Sr.'s second wife),Chandler
Unnamed Season 7 Characters,Peter
Charlie Wheeler,Ursula Buffay
Emma Geller-Greene,Jack Geller
Paul Stevens,Leonard Greene
Estelle Leonard,Phoebe
Steven Fisher,Chandler
Dr. Roger,Joey
Aunt Millie,Cousin Frannie
Mary-Therese Tribbiani,Joey Tribbiani Sr.
Mrs. Braverman,Rachel
Parker,Rachel
Steve Cera,Ross
Andrew,Rick
Tilly,Mary
Carol Willick,Rachel
Eric,Monica
"David ""Tank"" Abbott",Pete Becker
Amy Greene,Leonard Greene
Carol Willick,Minnie
Celia,Marcel
Gary,Phoebe
Stephen Waltham,Rachel
Richard Burke,Tim
Fake Monica,Monica
Gloria Tribbiani,Tribbiani Sisters
Dr. Gettleman's daughter,Ross
Aunt Lillian,Erica
Jessica Lockhart,Dina
Janice Litman-Goralnik,Joey
Eric (photographer),Joey
Cailin,Ross
Aunt Sylvia,Aunt Iris
Tomas,Tom
Elizabeth Hornswoggle,Chandler
Felicity,Ross
Donny Osmond,Mary
Mr. Adelman,Joey
Joshua Burgin,Don
Althea,Ben Geller
Leslie Buffay,Lily Buffay
Frank Jr. Jr.,Leslie
Phoebe Abbott,Rachel
Dina,Nonnie
Mrs. Braverman,Joey
Unnamed Season 7 Characters,The Waiter
Marc Coreger,Ross
Marcel,Fake Monica
Mona,Chandler
Phoebe's stepfather,Lily Buffay
Nurse,Ben Geller
Timmy,Rachel
Charles Bing,Monica
Nancy (realtor),Phoebe
Muriel,Jill Greene
Kiki,Rachel
Elizabeth Stevens,Stu
The accountant,Ross
Frank Jr. Jr.,Frank Buffay Sr.
Mr. Douglas,Joey
Steve (drug addict),Richard Burke
Nancy,Nancy (realtor)
Mr. Simon,Phoebe
Charlie Wheeler,Phoebe
Frank Buffay Sr.,Bob
Mr. Bunch,Mrs. Bunch
Nurse Sizemore,Nurse
Gavin,Carol Willick
Dina,Mary
Althea,Joey
Annabel,Joey
Jean-Claude Van Damme,Joey
Laura,Maria
Mary-Therese Tribbiani,Tina
The Housekeeper,Ross
Wendy,Joey
The Kids,Monica
Leslie (casting director),Monica
Dr. Robert Bobby,Rachel
Roy Gublik,Rachel
Uncle Freddie,Ross
Stuart,Cheryl
Althea,Monica
Mr. Heckles,Rachel
Kyle,Whitney
Denise,Chandler
Nasforatool,Doug
Carol Willick,Chandler
Timothy Burke,Tim
Duncan,Mary
Althea,Emma Geller-Greene
Ursula Buffay,Joey
Tommy,Tom
Richard Burke,Monica
Nonnie,Tribbiani Sisters
Gloria Tribbiani,Mary-Angela
Robert,Phoebe
Allesandro,Emilio
Aunt Lisa,Jack Geller
Mr. Bunch,Susan Bunch
Kristen Leigh,Joey
Caitlin,Chandler
Leonard Greene,Stu
Frank Buffay Jr.,Chandler
Mitzi,Nurse Sizemore
Nora Tyler Bing,Rachel
Larry,Ross
Mr. Heckles,Marcel
Precious,Rachel
Althea's husband,Erica Bing
Bitsy Hannigan,Mike Hannigan's sister
Frances,Chandler
Duncan,Lily Buffay
Charlie Wheeler,Mr. Wheeler
Nancy Oberblau,Nancy
Mark Robinson's niece,Mrs. Robinson
Mary-Therese Tribbiani,Chandler
Carlos,Marie
Katie,Rachel
Tommy,Ross
Mona,Joey
Dr. Gettleman's daughter,Chandler
Mary,Lily Buffay
Leonard Greene,Monica
Pete Becker,Phoebe
Arthur,Ross
Aunt Sylvia,Jack Geller
Katie (saleswoman),Rachel
Michelle,Ross
Julie,Rachel
Megan Bailey,Chandler
Will Colbert,Monica
Mike Hannigan,Phoebe Abbott
Chloe,Joey
Frank Buffay Sr.,Chandler
Alice Knight,Chandler
Nurse,Estelle Leonard
Chandler Buffay,Phoebe Abbott
Lily Buffay,Phoebe Abbott
Jack Geller,Joey
Richard Burke,Judy Geller
Stevens siblings' father,Chandler
Frank Buffay Jr.,Mrs. Buffay (Frank Sr.'s second wife)
Mr. Waltham,Stephen Waltham
Isabella Rossellini,Monica
Eric,Eric (photographer)
Joshua Burgin,Emily Waltham
Richard Darnville,Rachel
Kathy,Chandler
The Doctor,Eric
Aunt Lillian,Erica Bing
Nurse Sizemore,George Stephanopoulos
Missy Goldberg,Ross
"Todd, the Hombre Man",Joey
Mrs. Burnett,Joey
Leslie (casting director),Joey
Lily Buffay,Monica
Nonnie,Caitlin
Don,Chandler
Joan Tedeschi,Monica
Erica Bing,Chandler
Sandra Greene's father,Jill Greene
Mitzi,Nurse
Paula,Jen
Frank Buffay Sr.,Duncan
Sergei,Ross
Alan Lewis,Kyle
Charlie Wheeler,Elizabeth Stevens
Grandma Geller,Emma Geller-Greene
Terry (casting director),Joey
The Triplets,Alice Knight
The Triplets,Frank Buffay Sr.
Wayne,Andrew
Ida Greene,Leonard Greene
Tim (Season 3),Chandler
Fun Bobby,Russ
Leslie Buffay,Rachel
Mark Robinson,Ross
Tim,Timmy
Mark Robinson's niece,Robinson Twins
Nurse,Carol Willick
Kara,Chandler
Ben Geller,Joey
Uncle Murray,Rachel
Chick Jr. & Duck Jr.,Joey
Denise,Ross
Aunt Millie,Ben Geller
Susan Bunch,Phoebe
Uncle Sal,Ben Geller
Alice Knight,Chandler Buffay
Dana Keystone,Chandler
Malcolm,Ursula Buffay
Dina,Chandler
Hootie and the Blowfish,Rachel
Aunt Lillian,Jack Geller
Mr. Treeger,Phoebe
Unnamed Season 7 Characters,Doug
Dan,Nurse
Anita Altman,Rachel
Leslie Buffay,Phoebe
Cassie,Emma Geller-Greene
Frank Jr. Jr.,Ursula Buffay
Cailin,Laura
Mark Robinson,Lauren
Cassie,Erica Bing
Unidentified Phoebe Buffay fan,Phoebe
Rick Sanoven,Dan
Clifford Burnett,Mrs. Burnett
Maureen,Jack Geller
Mr. Burgin,Rachel
Chandler,Chandler Buffay
Tribbiani Sisters,Joey
Emily Waltham,Kip
Aunt Lisa,Ross
Aunt Sylvia,Ben Geller
Leonard Greene,Rachel
Aunt Lillian,Don
Buddy Doyle,Mr. Heckles
Chandler Buffay,Leslie
Ugly Naked Guy,Joey
Sandra Greene,Sandra Greene's father
Phoebe Abbott,Monica
Leonard Greene,Mona
Cookie,Phoebe
The Thief,Joey
Leonard Greene,Cookie
Ned Morse,Stu
Amy Greene,Phoebe
Silvia,Ursula Buffay
Tim (Season 3),Phoebe
Jill Greene,Monica
Mrs. Burnett,Rachel
The Triplets,Chandler
Ryan,Monica
Janine Lecroix,Phoebe
Sergei,Monica
Tomas,Bill
Michelle,Eric
Dick Clark,Ross
Jack Geller,Judy Geller
Robert,Chandler
Gunther,Monica
Gary (neighbor),Monica
Joshua Burgin's ex-wife,Rachel
Unnamed Season 7 Characters,Monica
Brown Bird Troop Leader,Ross
Dina,Tribbiani Sisters
Chip Matthews,Ross
George Stephanopoulos,Chandler
Tabitha,Phoebe
Mike Hannigan,Kara
Mrs. Buffay (Frank Sr.'s second wife),Schnoodle
Mary-Angela,Joey
Mr. Zelner,Lauren
Dr. Wiener,Ross
Emily Waltham,Judy Geller
Julio (poet),Monica
Andrew,Aurora
Leslie Buffay,Ross
Mark Robinson,Rachel
Andrea Waltham,Jen
Devon,Ross
Emma Geller-Greene,Earl
Carlos,Allesandro
Tag Jones,Chandler
Denise,Rachel
Emma Geller-Greene,Aunt Iris
Mischa,Ross
Danny,Dan
Shovelly Joe,Eric
Chloe,Ross
Erica,Chandler
Aunt Lisa,Monica
Chandler Buffay,Frank Jr. Jr.
Phoebe's stepfather,Joey
Duncan,Phoebe
Sarah,Joey
Michael,Ross
David,Don
Peter,Joey
Bruce Buffer,Michael
Alan Lewis,Ned Morse
Estelle Leonard,Monica
Terry (casting director),Rachel
Gina Tribbiani,Tina
Jack Geller,Monica
Mike Hannigan's sister,Phoebe
Steve (drug addict),Doug
Frances,Frank Buffay Sr.
Aunt Lillian,Ross
Gunther,Judy Geller
Emma Geller-Greene,Stu
Charles Bing,Chandler
Gloria Tribbiani,Mary
Jason,Phoebe
Alice Knight,Rachel
Erica,Shovelly Joe
Estelle Leonard,Joey
Kate Miller,Rachel
Jill Goodacre,Chandler
Sandy,Ross
Amy Greene,Jen
Marjorie,Joey
Tabitha,Joey
Gunther,Michael
Emily Waltham,Earl
Ben Geller,Carol Willick
Huggsy,Joey
Estelle Leonard,Russ
Marcel,The Zoo Employee
Unnamed Season 1 Characters,David
Tim,Allesandro
The Triplets,Frank Jr. Jr.
Stuart,Ben Geller
Emma Geller-Greene,Leonard Greene
Carlos,Monica
Aunt Lisa,Eric
Melissa Warburton,Monica
Brown Bird Troop Leader,Rachel
Alice Knight,Leslie
Charlie Wheeler,Professor Spafford
Frank Buffay Sr.,Leslie
Nancy (realtor),Rachel
Julio (cat),Phoebe
Carl (Rachel's date),Tom
Marcel,Phoebe
Frank Buffay Jr.,Leslie
Minnie,Ross
Tim,Rachel
Mary Ellen Jenkins,Phoebe
Allesandro,Monica
Unnamed Season 7 Characters,Chandler
Charla Nichols,Ross
Aunt Marilyn,Chandler
Charlton Heston,Marie
"Roy ""Goodbody""",Roy Gublik
Cousin Frannie,Judy Geller
The Handyman,Rachel
Charlie Wheeler,Rachel
Gary Litman,Monica
Paolo,Ross
Mischa,Sergei
Parker,Ross
Josh,Joshua Burgin
Bill,Ross
The Kids,Erica
Carl (Rachel's date),Monica
Bitsy Hannigan,Ross
Carol Willick,Ross
Tim (Season 3),Tom
Ms. Stevens,Stevens siblings' mother
Aunt Iris,Tony
Gloria Tribbiani,Cookie
Kash Ford,Rachel
Joanne,Leslie
Leslie Buffay,Chandler
Shelly,Nancy
Michelle Burke,Tim
Leslie Buffay,Joey
Dr. Baldharan,Marcel
Delia,Rachel
Andrea Waltham,Mr. Waltham
Benjamin Hobart,Marie
Felicity,Rachel
Kip,Chandler
Phoebe Abbott,Phoebe
Joey Tribbiani Sr.,Tribbiani Sisters
Amy Greene,Ross
Tony,Chandler
Nick,Rachel
Stuart,Emma Geller-Greene
Cheryl,Ross
Ronni Rapalono,Joey
Mona's boyfriend,Ross
Frances,Phoebe Abbott
Charlie Wheeler,Carol Willick
Aunt Iris,Joey
Felicity,Joey
Margha,Joey
Aunt Cheryl,Stu
The Housekeeper,Emily Waltham
Amanda (Monica And Chandler's wedding),Charles Bing
Aunt Liddy,Monica
Marie,Allesandro
Donny Osmond,Joey
Aunt Cheryl,Erica
Gunther,Jen
Tommy,Chandler
Rick Sanoven,Phoebe
Laura,Joey
Cailin,Tommy
David,Dr. Baldharan
Unnamed Season 7 Characters,Joey
Frank Jr. Jr.,Phoebe Abbott
David,Chandler
Julie Coreger,Rachel
Althea,Jack Geller
Dennis Phillips,Chandler
Mr. Douglas,Nina Bookbinder
Steve (drug addict),Stu
Janice Litman-Goralnik,Gary
Erin,Ross
Frank Buffay Jr.,Phoebe Abbott
Isabella Rossellini,Chandler
Alan,Ross
Molly,Phoebe
Rick Sanoven,Rick
Sandra Greene,Chandler
Estelle Leonard,Ross
Sandy,Joey
The Housekeeper,Andrea Waltham
Mrs Adelman,Carol Willick
Mischa,Phoebe
The Chick and The Duck,Joey
Nancy (Bloomingdale's Employee),Hillary
Mike Hannigan,Mrs. Buffay (Frank Sr.'s second wife)
Dr. Franzblau,Ben Geller
Tim (Season 3),Monica
Jill Greene,Phoebe
Aunt Sylvia,Erica
Nonna,Tina
Cailin Praytor,Ross
Timothy Burke,Michelle
Dr. Schiff,Ross
Sarah Tuttle,Stu
Cousin Frannie,Erica Bing
Jessica Lockhart,Celia
Mona,Emily Waltham
Sergei,Phoebe
Gavin,Gavin Mitchell
Ben Geller,Emily Waltham
Rick Sanoven,Chandler
Erika Ford,Joey
Uncle Murray,Monica
Janice Litman-Goralnik,Ross
Dina,Nonna
Gloria Tribbiani,Joey
Mike Hannigan,Mike Hannigan's sister
Stuart,Judy Geller
David,Phoebe
Cailin,Tom
Aunt Marilyn,Ross
Dina,Joey Tribbiani Sr.
Steve (Chandler's boss),Monica
Kristen Leigh,Ross
Kara,Ross
Nurse,Lydia
Phoebe's stepfather,Chandler
Carl (bully),Chandler
Mrs. Robinson,Ross
Myron,Rachel
Stuart,Stu
Emilio,Tony (Allesandro's employee)
Frances,Lily Buffay
Stuart,Erica
Gunther,Ross
Fun Bobby's grandfather,Bob
Ralph Lauren,Ross
Tommy,Rachel
Emily Waltham,Ross
Jade,Bob
Mark Robinson's niece,Rachel
Tony,Phoebe
Arthur,Carl (bully)
Lowell (mugger),Ross
Molly,Tabitha
Ryan,Ross
Aunt Cheryl,Erica Bing
Cecilia Monroe,Dina
Frank Jr. Jr.,Joey
Mary-Angela,Chandler
Steve (drug addict),Ross
Cousin Frannie,Cheryl
Kyle Lowder,Joey
Cathy,Joey
Paul Stevens,Phoebe
Paula,Monica
Erica,Phoebe
Bob,Monica
Erica,Erica Bing
Al Zebooker,Dan
Terry,Phoebe
Aunt Lisa,Erica
Mr. Heckles,Paolo
Jamie,Ross
Mike Hannigan's brother,Theodore Hannigan
Unnamed Season 1 Characters,Rachel
Cecilia Monroe,Rachel
Robert,Joey
Gunther,Jasmine
Louis Posen,Monica
Missy Goldberg,Chandler
Ida Greene,Jill Greene
Julio (cat),Lily Buffay
"Roy ""Goodbody""",Monica
Mike Hannigan,Leslie Buffay
Mrs Burkart,Monica
Ugly Naked Guy,Ross
Emilio,Marie
Mr. Treeger,Michael
Gavin,Ross
Nonna,Tribbiani Sisters
Rhonda,Ross
Kim,Ross
Charlie Wheeler,Emily Waltham
Dina,Michael
Mark Robinson,Phoebe
Alan,Joey
Emily Waltham,Joey
Richard Burke,Chandler
Erica Bing,Jack Geller
Uncle Dan,Ross
Charles Bing,Erica
Isabella Rossellini,Paul Stevens
Judy Geller,Monica
Aunt Sylvia,Judy Geller
Jen,Joey
Gary Litman,Joey
Lily Buffay,Phoebe
Frank Jr. Jr.,Phoebe
Nonna,Joey
Judy Geller,Chandler
Vince,Ross
Jack Geller,Richard Burke
Eddie Menuek,Tilly
Guru Saj,Chandler
Sandra Greene,Kip
Frank Buffay Jr.,Ursula Buffay
Emma Geller-Greene,Phoebe
Restaurant Manger/Producer,Monica
Erika Ford,Ross
Barry Farber,Rachel
Amanda Buffamonteezi,Monica
Denise,Monica
The Handyman,Joey
Jarvis Oberblau,Nancy Oberblau
Mike Hannigan,Theodore Hannigan
Chappy,Mike Hannigan
Nervous male passenger,Phoebe
Ben Geller,Michael
Stevens siblings' mother,Ross
Jack Geller,Eric
Megan Bailey,Phoebe
Emily Waltham's cousin,Mr. Waltham
Steve (drug addict),Sandra Greene
Susie Moss,Robert
Mike Hannigan,Mike Hannigan's brother
Josh,Joey
Unnamed Season 1 Characters,George Stephanopoulos
Carl (bully),Ross
Amy Greene,Erin
Tim (Season 3),Bill
Grandma Geller,Rachel
Rick (Aurora's husband),Ethan
Dr. Roger,Roger
Gary Litman,Ross
Dina,Gina Tribbiani
Colin,Emily Waltham
Mr. Treeger,Monica
Huggsy,Rachel
Kate Miller,Monica
Hootie and the Blowfish,Phoebe
Caroline Duffy,Joey
Chandler Buffay,Lily Buffay
Aunt Sylvia,Monica
Erica Bing,Joey
Joanna,Ralph Lauren
Jasmine,Phoebe
Mike Hannigan's brother,Mike Hannigan's ex-wife
Joshua Burgin,Ross
Phoebe's stepfather,Phoebe
Mischa,Monica
Fun Bobby,Vince
Marc Coreger,Tim
Luisa Gianetti,Monica
Nonnie,Joey
Cassie,Chandler
Larry,Phoebe
Timothy Burke,Chandler
Young Ethan,Aurora
Tim,Phoebe
Richard Burke,Phoebe
Kim,Lauren
Tomas,Pete Becker
Rhonda,Phoebe
Alice Knight,Mike Hannigan
Frank Buffay Sr.,Mike Hannigan
Ursula Buffay,Gunther
Andrea Waltham,Stephen Waltham
Sonya,Monica
Dr. Baldharan,Joey
Amy Greene,Monica
Mitzi,Rachel
Steve Cera,Howard
Frank Buffay Sr.,Joey
Nancy (realtor),Monica
Chi-Chi,Monica
Gunther,Joey
Aunt Phylis,Monica
Mona,Julie
Alice Knight,Mrs. Buffay (Frank Sr.'s second wife)
Frank Buffay Sr.,Mrs. Buffay (Frank Sr.'s second wife)
Sarah,Max
Steve (Chandler's boss),Ross
Grandma Geller,Erica Bing
The Dry Cleaner,The Dry Cleaner's Wife
Steve (drug addict),The Chick and The Duck
Melissa Warburton,Ross
Paolo's cat,Paolo
Eric,Chandler
Bitsy Hannigan,Theodore Hannigan
Jill Greene,Jen
Unnamed Season 7 Characters,Stephanie
Al Zebooker,Joey
Doug,Monica
Aunt Millie,Erica Bing
Lauren,Joey
Steve (drug addict),Judy Geller
Lauren,Jen
Mrs. Stevens,Ross
Cassie,Judy Geller
Arthur,Nick
Dana Keystone,Monica
Frank Buffay Jr.,Frank Jr. Jr.
Joshua Burgin,Jen
Mark Robinson,Gunther
Mark Robinson,Ralph Lauren
The Doctor,Erica
Krista,Lauren
Paul Stevens,Rachel
Charlie Wheeler,Don
Alice Knight,Phoebe
Frank Buffay Sr.,Phoebe
Ben Geller,Emma Geller-Greene
Janice Litman-Goralnik,Aaron Goralnik
Mary,Ursula Buffay
Rick Sanoven,Jason
Sandra Greene's father,Amy Greene
Jake,Phoebe
Judy Geller,Ross
Jessica Lockhart,Monica
Frank Buffay Jr.,Joey
Sally,Dr. Gettleman
The Waiter,Joey
Ethan,Young Ethan
Theodore Hannigan,Monica
Mona,Rachel
Cassie,Erica
Joshua Burgin's nephew,Mrs. Burgin
Charles Bing,Earl
Emily Waltham's cousin,Emily Waltham's second husband
Nancy Branson,Nancy
Joey Tribbiani Sr.,Mary
Mary-Therese Tribbiani,Walter
Lowell (mugger),Phoebe
"Roy ""Goodbody""",Roy
Carol Willick,Mr. Bunch
Althea,Erica
Kip,Ross
Pete Becker,Joey
Elizabeth Stevens,Mrs. Stevens
Isabella Rossellini,Alice Knight
Ben Geller,Mr. Bunch
Jean-Claude Van Damme,Ross
Chandler Buffay,Leslie Buffay
Marc Coreger,Mark Robinson
Sid Goralnik,Chandler
Nora Tyler Bing,Joey
Aunt Lillian,Ben Geller
Ms. Stevens,Stevens siblings' father
Amanda (Ross' date),Phoebe
Sarah Tuttle,Ross
Chip Matthews,Monica
Russ,Monica
Dana Keystone,Stu
The Kids,Erica Bing
Aunt Phylis,Ross
Charles Bing,Nora Tyler Bing
Ginger,Monica
Amanda Buffamonteezi,Joey
Eric (photographer),Ursula Buffay
Steve (drug addict),Monica
Nonna,Mary-Therese Tribbiani
Sergei,Rachel
Josh,Ross
Barbara Burke,Rachel
Clifford Burnett,Phoebe
Joshua Burgin's nephew,Mr. Burgin
Max,Wayne
Rick (Aurora's husband),Chandler
Rick (Aurora's husband),Rick
Alan,Phoebe
Delia,Ross
Lizzy,Phoebe
Amanda (Monica And Chandler's wedding),Ross
Ursula Buffay,Ross
Mr. Adelman,Mrs Adelman
Mr. Waltham,Josh
Sonya,Chandler
Stephen Waltham,Tom
Schnoodle,Russ
Uncle Murray,Erica
Althea,Rachel
Frank Buffay Jr.,Mike Hannigan
Mr. Heckles,Monica
Ursula Buffay,Cookie
Jill Greene,Ross
Isaac,Ross
Russell,Russ
Sidney Marks,Ugly Naked Guy
Molly,Rachel
Dave,Ross
Richard Burke,Rachel
Jean-Claude Van Damme,Marcel
Duncan,Mrs. Buffay (Frank Sr.'s second wife)
Steve (drug addict),Mark Robinson
Dan,Chandler
Ben Geller,Phoebe
Susie Moss,Chandler
Amy Greene,Barry Farber
Kash Ford,Ross
Marsha,Carol Willick
Julie Coreger,Ross
Charles Bing,Ross
Nonna,Mary-Angela
Aunt Cheryl,Althea
Dr. Gettleman,Dr. Gettleman's daughter
Aunt Lillian,Emma Geller-Greene
Marie,Tony
Ashley Tribbiani,Tribbiani Sisters
Gavin Mitchell,Ross
Joey Tribbiani Sr.,Jen
"Roy ""Goodbody""",Dan
Andrew,Ethan
Nurse Sizemore,Mary
Phoebe Abbott,Ross
Timmy,Phoebe
Steven Fisher,Rachel
Nancy Oberblau,Ross
Unnamed Season 7 Characters,Ross
Kip,Rachel
Cassie,Aunt Marilyn
Amy Welsh,Monica
Carol Willick,Jack Geller
Danny,Chandler
Gina Tribbiani,Michael
Dr. Harad,The Triplets
Parker,Jen
Roy,Joey
Aunt Iris,Ross
Carl (bully),Gunther
Grandma Geller,Jack Geller
Amy Greene,Joey
Mozzarella,Wendy
Professor Spafford,Ross
The Dry Cleaner,Joey
Aunt Iris,Jack Geller
Cassie,Rachel
"David ""Tank"" Abbott",David
Grandma Geller,Chandler
Malcolm,David
Judy Geller,Sandra Greene
Unnamed Season 1 Characters,Estelle Leonard
Tina,Nonnie
Christmas tree customer,Joey
Mrs. Robinson,Robinson Twins
Glenda,Ross
Bitsy Hannigan,Phoebe
Carol Willick,Phoebe
Gary,Rachel
Aunt Millie,Ross
Julio (cat),Ross
Parker,Phoebe
The Dry Cleaner's Wife,Russ
Julie,Russ
Barbara Burke,Monica
Tribbiani Sisters,Rachel
Uncle Sal,Ross
Ms. Stevens,Ross
Barbara Burke,Michelle
Mr. Rastatter,Monica
Al Zebooker,Mr. Simon
Bobby Rush,Robert
Mary-Angela,Tribbiani Sisters
Mrs Adelman,Phoebe
Katie,Joey
Judy Geller,Eric
Stephen Waltham,Jack Geller
Joanna,Lauren
Chick Jr. & Duck Jr.,Phoebe
Doug,Chandler
"Mike ""Gandalf"" Ganderson",Chandler
Gina Tribbiani,Mary-Angela
Nora Tyler Bing,Ross
"Roy ""Goodbody""",Phoebe
Mark Robinson,Sophie
Michael,Rachel
Kori Weston,Ross
Janine Lecroix,Kate Miller
Emily Waltham,Emily Waltham's second husband
Janice Litman-Goralnik,Rachel
Richard Burke,Michelle
Erica Bing,Monica
The Zoo Employee,Ross
Dr. Ledbetter,Michael
Leslie,Leslie (casting director)
Peter,Tony
Kim,Ralph Lauren
Mr. Treeger,Joey
Mark Robinson,Nancy (Bloomingdale's Employee)
Mrs. Burgin,Josh
Bitsy Hannigan,Mike Hannigan
Caitlin,Rachel
Erica,Jack Geller
Gary,Michael
Parker,David
Precious,Monica
Jean-Claude Van Damme,Monica
The Kids,Ben Geller
Marshall Townend,Roger
Charlie Wheeler,David
Jessica Lockhart,Joey
Dina,Rachel
