CH_1,CH_2
Dr. Ledbetter,Monica
Melanie,Joey
Schnoodle,Phoebe
Louis Posen,Chandler
Mike Hannigan's ex-wife,Theodore Hannigan
Mrs. Burgin,Rachel
Terry (casting director),Stryker Ramoray
Uncle Dan,Dan
Bob (Chandler's coworker),Rachel
Mrs. Burnett,Phoebe
Dina,Bob
The Dry Cleaner,Russ
Unnamed Season 7 Characters,Terry
Danny,Krista
Tina,Chandler
Gloria Tribbiani,Rachel
Marcel,Katie
Vince,Phoebe
Jason,Robert
Aunt Cheryl,Jack Geller
Tina,Joey
Charlie Wheeler,Mona
Dr. Franzblau,Rachel
Joanne,Maria
The Kids,Phoebe
Althea,Erica Bing
Alice Knight,Frank Buffay Sr.
Mr. Burgin,Mrs. Burgin
Amanda (Monica And Chandler's wedding),Chandler
Nurse Sizemore,Joey
Michelle,Rachel
Colleen,Ross
Ben Geller,Erica
Hillary,Monica
Chip Matthews,Nancy
Kim,Phoebe
Russell,Ross
Paul Stevens,Monica
Robinson Twins,Rachel
Male Guest,Bob
Mike Hannigan,Eric
Ursula Buffay,Monica
Amanda (Monica And Chandler's wedding),Monica
Leonard Greene,Chandler
Susan Bunch,Rachel
Julie,Lauren
Aunt Sylvia,Chandler
Emma Geller-Greene,Ross
Aunt Sylvia,Richard Burke
Jeanine,Monica
Carol Willick,Judy Geller
Emily Waltham,Emily Waltham's cousin
Paolo,Phoebe
Doug,Joey
The Interviewer,Joey
Cassie,Denise
Mr. Zelner,Ross
Molly,Emma Geller-Greene
Althea,Eric
Aunt Cheryl,Emma Geller-Greene
Mike Hannigan,Mike Hannigan's ex-wife
Unidentified Phoebe Buffay fan,Joey
Timmy,Amy Greene
Benjamin Hobart,Ross
Fun Bobby's grandfather,Monica
Gary Litman,Gary
Angela Delveccio,Kim
Barbara Burke,Timothy Burke
Bonnie,Chandler
Dean Lipson,The Zoo Employee
Frances,Frank Buffay Jr.
Unidentified Phoebe Buffay fan,Ursula Buffay
Kyle,Phoebe
Aurora,Chandler
Marcel,Ross
Brown Bird Troop Leader,Sarah Tuttle
Cassie,Ryan
Gina Tribbiani,Joey
Phoebe's stepfather,Frances
Dina,Joey
Dr. Oberman,Phoebe
Chick Jr. & Duck Jr.,Monica
The Housekeeper,Stephen Waltham
Mr. Zelner,Ralph Lauren
Joshua Burgin's ex-wife,Mrs. Burgin
Don,Rachel
Barbara Burke,Carol Willick
Erica,Eric
Dan,Rachel
Joanna,Sophie
Leslie,Leslie Buffay
Joshua Burgin's ex-wife,Joshua Burgin's nephew
Ben Geller,Chandler
Buddy Doyle,Danny
Chip Matthews,Dan
Dr. Long,Rachel
Russ,Chandler
Nancy Branson,Rachel
Barbara Burke,Michelle Burke
Carl (Rachel's date),Tommy
Joshua Burgin,Mrs. Burgin
Caitlin,Ross
Erica Bing,Rachel
The accountant,Monica
Alan Lewis,Ross
Bonnie,Ross
Hillary,Ross
Kyle,David
