From,To
Ethan,Chandler
Aunt Lillian,Don
Tomas,Bill
Mrs. Robinson,Robinson Twins
Stuart,Eric
Terry (casting director),Rachel
Joshua Burgin,Mrs. Burgin
Phoebe Abbott,Rachel
Cousin Frannie,Erica Bing
Marcel,Chandler
Ben Geller,Emma Geller-Greene
Bonnie,Chandler
Larry,Ross
Tom,Rachel
Mrs. Burgin,Josh
Jarvis Oberblau,Nancy Oberblau
Sandra Greene,Susan Bunch
Dr. Gettleman,Dr. Gettleman's daughter
Mr. Heckles,Rachel
Russ,Ross
Maria,Chandler
Unnamed Season 1 Characters,Rachel
Julie,Ross
Joshua Burgin's nephew,Mrs. Burgin
Mike Hannigan,Ross
Gavin,Gavin Mitchell
Chandler Buffay,Phoebe
Nancy,Kim
Aunt Lillian,Ross
Mike Hannigan,Stu
Dr. Baldharan,Marcel
Emily Waltham,Josh
Judy Geller,Aunt Phylis
Silvia,Phoebe
Steven Fisher,Chandler
Dave,Monica
Sandra Greene,Carol Willick
Unnamed Season 7 Characters,Monica
Russ,Lauren
Trudie Styler,Ben Geller
Pizza Guy,Rachel
Kathy,Phoebe
Mary-Angela,Chandler
Aunt Millie,Erica Bing
Gavin,Carol Willick
Mark Robinson,Rachel
Parker,Jack Geller
The next next Martin Scorsese,Joey
Julie,Lauren
Aurora,Ethan
Tribbiani Sisters,Mary
Elizabeth Stevens,Ross
Danielle,Chandler
Cousin Frannie,Chandler
Molly,Joey
Ben Geller,Don
Gary,Michael
Charla Nichols,Sarah
Elizabeth Stevens,Stu
Mary,Mike Hannigan
Mary-Angela,Tribbiani Sisters
Mr. Wheeler,Ross
Timmy,Monica
Emma Geller-Greene,Stu
Amy Greene,Erin
Amy Greene,Jen
Tilly,Mary
Cookie,Mary-Angela
Angela Delveccio,Monica
Guru Saj,Don
Devon,Ross
Luisa Gianetti,Rachel
Mike Hannigan,Chandler Buffay
Sarah Tuttle,Chandler
Sandra Greene,Sandra Greene's father
David,The Zoo Employee
Andrea Waltham,Mr. Waltham
Fun Bobby,Monica
Unnamed Season 7 Characters,Jason
Tom,Dan
Tina,Joey
Julie Graff,Monica
Nurse Sizemore,George Stephanopoulos
Alice Knight,Phoebe
Joanne,Rachel
Mr. Waltham,Stephen Waltham
Nancy (Bloomingdale's Employee),Hillary
Alan Lewis,Joey
Hootie and the Blowfish,Joey
Steve (drug addict),Phoebe
Barbara Burke,Tim
Ben Geller,Ross
Dina,Joey Tribbiani Sr.
Mischa,Phoebe
Tim (Season 3),Tim
Nina Bookbinder,Jen
Ben Geller,Stu
Paul Stevens,Stevens siblings' father
Robert,Chandler
Unnamed Season 7 Characters,Peter
Janine Lecroix,Joey
Mr. Zelner,Rachel
Ida Greene,Sandra Greene
Brown Bird Troop Leader,Rachel
Mr. Waltham,Joanna
Paolo,Julie
Cassie,Emma Geller-Greene
Amanda Buffamonteezi,Ross
Tim (Season 3),Bill
Mr. Zelner,Ross Zelner
Missy Goldberg,Ross
Alan,Ross
Jack Geller,Ross
Ryan,Ben Geller
Felicity,Emily Waltham
Carl (actor),Tony
Missy Goldberg,Stu
Erica Bing,Rachel
Roy Gublik,Rachel
Jeanine,Julio (poet)
Jill Greene,Rachel
Mary Ellen Jenkins,Mary
Sandra Greene,Rachel
Mr. Treeger,Phoebe
Rick (Aurora's husband),Aurora
Trudie Styler,Monica
Max,Wayne
Aunt Cheryl,Erica Bing
Mike Hannigan,Leslie
Nervous male passenger,Ross
The Housekeeper,Andrea Waltham
Gavin,Rachel
Michelle,Eric
Unnamed Season 7 Characters,Kim
Jason,Ross
Mackenzie,Joey
Leslie,Leslie Buffay
Megan Bailey,Chandler
Emily Waltham,Emily Waltham's second husband
Uncle Murray,Erica
Amanda (Monica And Chandler's wedding),Ross
The Kids,Emma Geller-Greene
Bobby Corso,Monica
Joshua Burgin's ex-wife,Joshua Burgin's nephew
Chick Jr. & Duck Jr.,Chandler
Leonard Greene,Joey
Kip,Ross
Timmy,Tom
George Stephanopoulos,Robert
Unnamed Season 7 Characters,Jeffrey
George Stephanopoulos,Bill
Richard Burke,Judy Geller
Terry,Rachel
Richard Darnville,Rachel
Leslie Buffay,Ursula Buffay
Amanda Buffamonteezi,Monica
Lydia,Joey
Jake,Monica
Don,Chandler
Julio (cat),Ross
Bitsy Hannigan,Mike Hannigan's sister
Charles Bing,Rachel
Jack Geller,Monica
Erica Bing,Charles Bing
Kate Miller,Dina
Nancy (Bloomingdale's Employee),Nancy
Angela Delveccio,Kim
Mrs. Buffay (Frank Sr.'s second wife),Ursula Buffay
Susan Bunch,Ross
Dr. Baldharan,Monica
Gunther,Rachel
Gina Tribbiani,Nonnie
Gloria Tribbiani,Nonnie
David,Don
Jasmine,Chloe
Andrea Waltham,Jen
Caroline Duffy,Ben Geller
Nancy Branson,Nancy
Dr. Roger,Chandler
Howard,Joey
Nancy,Chandler
Paul the Wine Guy,Chandler
Dr. Ledbetter,Chandler
Stuart,Emma Geller-Greene
Muriel,Emma Geller-Greene
Emily Waltham,Liam
Aunt Cheryl,Chandler
Barbara Burke,Richard Burke
Mary-Angela,Mary
Mona,Chandler
Buddy Doyle,Mr. Heckles
Kip,Monica
Aunt Iris,Joey
Erica,Eric
"Mike ""Gandalf"" Ganderson",Ross
Frank Buffay Sr.,Duncan
Mrs. Bunch,Susan Bunch
Joey Tribbiani Sr.,Robert
Dick Clark,Monica
Emma Geller-Greene,Carol Willick
Sandra Greene,Mona
Janice Litman-Goralnik,Rachel
Gary,Rachel
Marie,Tony (Allesandro's employee)
Ryan,Monica
David,Dr. Baldharan
Mary-Therese Tribbiani,Walter
Peter,Chandler
Colleen,Chandler
Mike Hannigan,Mrs. Buffay (Frank Sr.'s second wife)
The Chick and The Duck,Joey
Nora Tyler Bing,Rachel
Caroline Duffy,Ross
Carol Willick,Rachel
Maureen,Chandler
"Roy ""Goodbody""",Roy
Mary,Phoebe
Cecilia Monroe,Rachel
Joanne,Joanna
Mary-Therese Tribbiani,Mary-Angela
Mr. Douglas,Nina Bookbinder
Mr. Treeger,Michael
Frances,Phoebe
Rick Sanoven,Dan
Emily Waltham,Phoebe
Althea's husband,Aunt Phylis
The Kids,Ross
Ursula Buffay,Ross
Ben Geller,Carol Willick
Young Ethan,Monica
Aaron Goralnik,Sid Goralnik
Unnamed Season 1 Characters,Nurse
Kate Miller,Lauren
Lily Buffay,Ursula Buffay
Tim,Timmy
Tommy,Phoebe
Gary (neighbor),Monica
Nancy (realtor),Phoebe
David,Monica
Aunt Iris,Judy Geller
Russ,Rachel
Alan Lewis,Kyle
Jarvis Oberblau,Ross
Nonnie,Monica
Paul Stevens,Ross
Aunt Lisa,Rachel
Mr. Waltham,Joey
Mrs Burkart,Monica
Julie,Rachel
Mike Hannigan,Rachel
Cassie,Jen
